1,2024-11-13 15:44:54.405367,0.pcapng,1,2024-11-13 20:44:48.215520+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:44:48.319344+00:00,66.22.212.24,Ping Time (ms)
3,2024-11-13 15:47:18.781672,2.pcapng,1,2024-11-13 20:47:12.816967+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:47:12.847435+00:00,66.22.214.80,12.057
5,2024-11-13 15:47:34.053264,4.pcapng,1,2024-11-13 20:47:28.545790+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:47:28.564412+00:00,66.22.214.32,13.13
6,2024-11-13 15:47:41.628767,5.pcapng,1,2024-11-13 20:47:36.221116+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:47:36.230955+00:00,66.22.214.61,12.787
7,2024-11-13 15:47:49.239895,6.pcapng,1,2024-11-13 20:47:43.801662+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:47:43.894649+00:00,66.22.214.79,11.845
8,2024-11-13 15:47:56.924871,7.pcapng,1,2024-11-13 20:47:51.379537+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:47:51.391096+00:00,66.22.214.63,10.666
9,2024-11-13 15:48:04.631584,8.pcapng,1,2024-11-13 20:47:59.092555+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:47:59.173629+00:00,66.22.212.150,13.072
10,2024-11-13 15:48:12.387308,9.pcapng,1,2024-11-13 20:48:06.792959+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:48:06.809045+00:00,66.22.214.71,17.849
11,2024-11-13 15:48:20.005456,10.pcapng,1,2024-11-13 20:48:14.543874+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:48:14.622879+00:00,66.22.214.18,12.117
12,2024-11-13 15:48:27.572775,11.pcapng,1,2024-11-13 20:48:22.193230+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:48:22.193461+00:00,66.22.214.84,12.323
13,2024-11-13 15:48:35.205626,12.pcapng,1,2024-11-13 20:48:29.735366+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:48:29.833448+00:00,66.22.214.49,11.524
16,2024-11-13 15:48:57.807992,15.pcapng,1,2024-11-13 20:48:52.388497+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:48:52.431314+00:00,66.22.214.53,13.488
18,2024-11-13 15:49:13.214829,17.pcapng,1,2024-11-13 20:49:07.579274+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:49:07.595303+00:00,66.22.212.32,12.76
23,2024-11-13 15:49:50.872180,22.pcapng,1,2024-11-13 20:49:45.169529+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:49:45.181763+00:00,66.22.212.77,13.807
33,2024-11-13 15:51:05.691803,32.pcapng,1,2024-11-13 20:51:00.189011+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:51:00.208423+00:00,66.22.214.153,13.132
37,2024-11-13 15:51:35.505176,36.pcapng,1,2024-11-13 20:51:30.106582+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:51:30.106756+00:00,66.22.214.77,16.857
38,2024-11-13 15:51:43.154718,37.pcapng,1,2024-11-13 20:51:37.651341+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:51:37.693844+00:00,66.22.214.21,16.003
46,2024-11-13 15:52:43.412605,45.pcapng,1,2024-11-13 20:52:37.739792+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:52:37.884772+00:00,66.22.214.94,12.829
47,2024-11-13 15:52:51.110237,46.pcapng,1,2024-11-13 20:52:45.562061+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:52:45.562116+00:00,66.22.214.70,54.802
48,2024-11-13 15:52:58.766683,47.pcapng,1,2024-11-13 20:52:53.269300+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:52:53.411907+00:00,66.22.214.51,13.349
49,2024-11-13 15:53:06.459128,48.pcapng,1,2024-11-13 20:53:00.923253+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:53:00.930992+00:00,66.22.214.135,13.412
50,2024-11-13 15:53:14.303815,49.pcapng,1,2024-11-13 20:53:08.645982+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:53:08.746312+00:00,66.22.214.13,12.241
51,2024-11-13 15:53:22.133176,50.pcapng,1,2024-11-13 20:53:16.462537+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:53:16.479406+00:00,66.22.214.56,12.735
54,2024-11-13 15:53:44.872323,53.pcapng,1,2024-11-13 20:53:39.151494+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:53:39.167071+00:00,66.22.214.48,13.42
55,2024-11-13 15:53:52.743173,54.pcapng,1,2024-11-13 20:53:47.064708+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:53:47.082598+00:00,66.22.212.56,13.474
56,2024-11-13 15:54:00.586412,55.pcapng,1,2024-11-13 20:53:54.905599+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:53:55.000657+00:00,66.22.212.159,12.215
58,2024-11-13 15:54:15.845573,57.pcapng,1,2024-11-13 20:54:10.186068+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:54:10.198560+00:00,66.22.212.25,15.897
59,2024-11-13 15:54:23.708380,58.pcapng,1,2024-11-13 20:54:18.012190+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:54:18.096249+00:00,66.22.212.144,18.919
60,2024-11-13 15:54:31.520114,59.pcapng,1,2024-11-13 20:54:25.905091+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:54:25.907558+00:00,66.22.212.61,12.65
64,2024-11-13 15:55:01.912339,63.pcapng,1,2024-11-13 20:54:56.337637+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:54:56.337809+00:00,66.22.212.68,12.1
69,2024-11-13 15:55:39.325748,68.pcapng,1,2024-11-13 20:55:33.786961+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:55:33.864806+00:00,66.22.212.71,11.841
70,2024-11-13 15:55:46.876109,69.pcapng,1,2024-11-13 20:55:41.488296+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:55:41.491624+00:00,66.22.214.139,11.359
73,2024-11-13 15:56:10.303249,72.pcapng,1,2024-11-13 20:56:04.009391+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:56:04.010464+00:00,66.22.214.22,11.748
74,2024-11-13 15:56:18.020150,73.pcapng,1,2024-11-13 20:56:12.510248+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:56:12.510304+00:00,66.22.212.46,14.951
81,2024-11-13 15:57:10.624714,80.pcapng,1,2024-11-13 20:57:05.062036+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:57:05.062159+00:00,66.22.212.48,12.182
85,2024-11-13 15:57:40.976630,84.pcapng,1,2024-11-13 20:57:35.421940+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:57:35.432637+00:00,66.22.212.73,12.974
87,2024-11-13 15:57:56.179679,86.pcapng,1,2024-11-13 20:57:50.758304+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:57:50.760763+00:00,66.22.212.8,11.153
91,2024-11-13 15:58:26.486892,90.pcapng,1,2024-11-13 20:58:21.081042+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:58:21.081209+00:00,66.22.214.39,11.485
94,2024-11-13 15:58:49.255347,93.pcapng,1,2024-11-13 20:58:43.758574+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:58:43.798679+00:00,66.22.212.149,13.664
95,2024-11-13 15:58:57.025285,94.pcapng,1,2024-11-13 20:58:51.525238+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:58:51.561484+00:00,66.22.214.30,14.054
97,2024-11-13 15:59:12.713466,96.pcapng,1,2024-11-13 20:59:07.116990+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:59:07.117109+00:00,66.22.214.66,10.276
98,2024-11-13 15:59:20.458524,97.pcapng,1,2024-11-13 20:59:14.964213+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:59:14.964213+00:00,66.22.214.82,13.261
99,2024-11-13 15:59:28.342264,98.pcapng,1,2024-11-13 20:59:22.714101+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:59:22.750942+00:00,66.22.212.36,11.597
